participant_id,account_status,horizon,baseline_stage,baseline_stage_label,baseline_exercise,baseline_date,followup_stage,followup_stage_label,followup_exercise,followup_date,stages_gained,confirmed_goblet_to_nexus,progression_classification
WSP-CADACEC125,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-CADACEC125,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-12,0,False,Same highest stage observed
WSP-35D2B825E2,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-35D2B825E2,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-12,0,False,Same highest stage observed
WSP-35D2B825E2,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2025-05-05,0,False,Same highest stage observed
WSP-35D2B825E2,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2026-03-06,0,False,Same highest stage observed
WSP-E60F02FB3D,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-05-24,2,Nexus Point Squat,Nexus Point Squat,2024-09-13,0,False,Same highest stage observed
WSP-9E8022E796,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-22,0,False,Same highest stage observed
WSP-3747400FEE,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-03-04,0,False,Same highest stage observed
WSP-3747400FEE,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-09-06,0,False,Same highest stage observed
WSP-3747400FEE,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2025-05-26,0,False,Same highest stage observed
WSP-3747400FEE,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2026-03-20,0,False,Same highest stage observed
WSP-749D8C9097,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-749D8C9097,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-12,0,False,Same highest stage observed
