participant_id,account_status,movement,source_exercise_name,horizon,best_score_kg,recorded_weight_kg,recorded_reps,result_date,days_from_first_workout,bodyweight_kg_near_result,score_to_bodyweight_ratio,standard_level,change_from_baseline_pct,standard_levels_gained
WSP-CADACEC125,deactivated,Bench Press,Barbell Bench Press,12 months (300-450d),45.5,32.5,12.0,2024-10-09,394,,,Unavailable,8.3,
WSP-CADACEC125,deactivated,Bench Press,Barbell Bench Press,6 months (120-240d),43.33,32.5,10.0,2024-05-01,233,,,Unavailable,3.2,
WSP-CADACEC125,deactivated,Bench Press,Barbell Bench Press,Baseline (0-60d),42.0,30.0,12.0,2023-10-04,23,58.0,0.724,Live,,0
WSP-CADACEC125,deactivated,Deadlift,Barbell Deadlift,12 months (300-450d),76.67,57.5,10.0,2024-11-04,420,,,Unavailable,2.2,
WSP-CADACEC125,deactivated,Deadlift,Barbell Deadlift,6 months (120-240d),78.0,65.0,6.0,2024-03-01,172,,,Unavailable,4.0,
WSP-CADACEC125,deactivated,Deadlift,Barbell Deadlift,Baseline (0-60d),75.0,62.5,6.0,2023-10-27,46,,,Unavailable,,
WSP-CADACEC125,deactivated,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),60.0,50.0,6.0,2024-09-20,375,,,Unavailable,-5.3,
WSP-CADACEC125,deactivated,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),62.33,55.0,4.0,2024-03-18,189,,,Unavailable,-1.6,
WSP-CADACEC125,deactivated,Nexus Point Squat,Barbell Back Squat,Baseline (0-60d),63.33,50.0,8.0,2023-11-06,56,,,Unavailable,,
WSP-CADACEC125,deactivated,Overhead Press,Barbell Overhead Press,6 months (120-240d),23.33,17.5,10.0,2024-05-01,233,,,Unavailable,0.0,
WSP-CADACEC125,deactivated,Overhead Press,Barbell Overhead Press,Baseline (0-60d),23.33,17.5,10.0,2023-09-18,7,58.0,0.402,Live,,0
WSP-CADACEC125,deactivated,Romanian Deadlift,Barbell Romanian Deadlift,Baseline (0-60d),57.0,45.0,8.0,2023-11-06,56,,,Unavailable,,
WSP-CADACEC125,deactivated,Split Squat,Barbell Split Squat,6 months (120-240d),26.67,20.0,10.0,2024-01-15,126,,,Unavailable,,
WSP-35D2B825E2,active,Bench Press,Barbell Bench Press,12 months (300-450d),40.0,30.0,10.0,2024-10-30,415,70.0,0.571,Live,8.1,
WSP-35D2B825E2,active,Bench Press,Barbell Bench Press,24 months (600-900d),41.33,40.0,1.0,2025-09-24,744,74.3,0.556,Live,11.7,
WSP-35D2B825E2,active,Bench Press,Barbell Bench Press,6 months (120-240d),36.67,27.5,10.0,2024-05-01,233,69.9,0.525,Live,-0.9,
WSP-35D2B825E2,active,Bench Press,Barbell Bench Press,Baseline (0-60d),37.0,30.0,7.0,2023-11-01,51,,,Unavailable,,
WSP-35D2B825E2,active,Bench Press,Barbell Bench Press,Beyond 24 months (901d+),40.53,32.0,8.0,2026-05-13,975,70.9,0.572,Live,9.5,
WSP-35D2B825E2,active,Deadlift,Barbell Deadlift,12 months (300-450d),66.0,55.0,6.0,2024-08-05,329,69.8,0.946,Live,0.0,
WSP-35D2B825E2,active,Deadlift,Barbell Deadlift,24 months (600-900d),77.5,75.0,1.0,2025-09-26,746,74.3,1.043,Live,17.4,
WSP-35D2B825E2,active,Deadlift,Barbell Deadlift,6 months (120-240d),62.33,55.0,4.0,2024-03-08,179,70.4,0.885,Live,-5.6,
