movement,horizon,paired_participants,active_accounts,deactivated_accounts,median_baseline_score_kg,median_followup_score_kg,median_absolute_gain_kg,median_change_pct,p25_change_pct,p75_change_pct,material_improvement_n,material_improvement_pct
Bench Press,6 months (120-240d),143,63,80,31.667,36.667,5.167,14.286,5.263,29.874,55,38.5
Bench Press,12 months (300-450d),81,42,39,33.0,39.0,7.0,18.364,8.108,41.746,34,42.0
Bench Press,24 months (600-900d),25,17,8,31.667,38.0,6.133,16.487,1.158,42.5,10,40.0
Bench Press,Beyond 24 months (901d+),5,5,0,37.0,40.533,2.4,5.714,-5.263,9.55,0,0.0
Deadlift,6 months (120-240d),76,24,52,60.917,66.667,8.833,14.242,3.64,33.816,28,36.8
Deadlift,12 months (300-450d),55,25,30,63.333,77.5,14.333,26.0,4.583,51.342,32,58.2
Deadlift,24 months (600-900d),18,11,7,63.333,79.917,12.833,18.712,1.211,40.054,8,44.4
Deadlift,Beyond 24 months (901d+),3,3,0,66.0,84.0,14.167,21.465,-33.601,41.923,2,66.7
Romanian Deadlift,6 months (120-240d),70,48,22,36.0,52.05,19.583,46.027,19.481,96.476,52,74.3
Romanian Deadlift,12 months (300-450d),30,23,7,38.0,57.633,24.0,61.177,28.665,128.869,23,76.7
Romanian Deadlift,24 months (600-900d),9,5,4,48.133,76.0,21.533,38.158,28.947,58.333,7,77.8
Romanian Deadlift,Beyond 24 months (901d+),6,5,1,48.067,86.25,28.667,44.298,24.408,71.752,5,83.3
Nexus Point Squat,6 months (120-240d),129,64,65,25.333,33.333,6.667,35.714,1.333,80.833,71,55.0
Nexus Point Squat,12 months (300-450d),64,35,29,33.167,44.333,9.167,24.414,-2.322,88.278,34,53.1
Nexus Point Squat,24 months (600-900d),17,12,5,38.0,37.333,1.667,12.171,-22.222,43.684,5,29.4
Nexus Point Squat,Beyond 24 months (901d+),4,3,1,50.667,45.45,-8.3,-14.732,-22.862,-5.569,0,0.0
Overhead Press,6 months (120-240d),19,6,13,20.0,20.267,2.0,9.63,0.0,49.188,7,36.8
Overhead Press,12 months (300-450d),1,1,0,6.333,33.583,27.25,430.263,430.263,430.263,1,100.0
Overhead Press,24 months (600-900d),3,2,1,20.0,22.167,7.0,35.0,22.917,42.5,2,66.7
Overhead Press,Beyond 24 months (901d+),3,2,1,20.0,25.833,8.5,42.5,29.375,63.512,2,66.7
Lat Pulldown,6 months (120-240d),40,31,9,63.167,72.817,8.9,13.994,4.696,22.961,15,37.5
Lat Pulldown,12 months (300-450d),17,14,3,70.0,71.25,0.333,0.347,-16.667,12.169,2,11.8
Lat Pulldown,24 months (600-900d),1,1,0,49.0,75.167,26.167,53.401,53.401,53.401,1,100.0
Lat Pulldown,Beyond 24 months (901d+),0,0,0,,,,,,,0,
Split Squat,6 months (120-240d),30,22,8,6.5,12.667,4.583,79.34,6.875,187.5,15,50.0
Split Squat,12 months (300-450d),14,8,6,13.667,12.933,4.783,42.917,2.715,96.875,6,42.9
Split Squat,24 months (600-900d),3,3,0,6.667,8.4,1.733,57.5,41.75,145.0,1,33.3
Split Squat,Beyond 24 months (901d+),1,1,0,13.333,34.167,20.833,156.25,156.25,156.25,1,100.0
Farmer Walk 60s,6 months (120-240d),52,34,18,32.5,25.0,-1.5,-12.143,-33.929,12.5,8,15.4
Farmer Walk 60s,12 months (300-450d),19,14,5,25.0,25.0,5.0,25.0,-10.0,66.667,10,52.6
Farmer Walk 60s,24 months (600-900d),4,2,2,12.5,23.75,11.25,95.833,53.571,131.25,3,75.0
Farmer Walk 60s,Beyond 24 months (901d+),1,1,0,10.0,25.0,15.0,150.0,150.0,150.0,1,100.0
