participant_id,account_status,horizon,movements_with_material_improvement,largest_change_pct,movements_advancing_standard,candidate_reason,review_required
WSP-35D2B825E2,active,Beyond 24 months (901d+),2,52.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-793DCC26EF,deactivated,12 months (300-450d),2,57.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-793DCC26EF,deactivated,24 months (600-900d),4,165.1,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-793DCC26EF,deactivated,Beyond 24 months (901d+),2,150.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A51366448E,deactivated,12 months (300-450d),2,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3147A61873,deactivated,6 months (120-240d),2,57.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DB04841EAF,deactivated,6 months (120-240d),2,66.7,2,at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-8DEF3EDD80,deactivated,6 months (120-240d),1,170.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-238D187D11,deactivated,12 months (300-450d),2,441.7,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E3A5A761C3,active,12 months (300-450d),1,52.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E3A5A761C3,active,24 months (600-900d),4,125.0,1,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E3A5A761C3,active,Beyond 24 months (901d+),4,150.0,2,4 movements improved >=20% and >=5kg; at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-C1751DA190,deactivated,12 months (300-450d),3,100.0,1,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C1751DA190,deactivated,24 months (600-900d),4,150.0,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C1751DA190,deactivated,6 months (120-240d),3,58.3,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F3DDD2F754,active,24 months (600-900d),3,232.5,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F3DDD2F754,active,Beyond 24 months (901d+),1,156.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-45C51DD4A0,deactivated,12 months (300-450d),3,105.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-45C51DD4A0,deactivated,24 months (600-900d),3,62.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-45C51DD4A0,deactivated,6 months (120-240d),1,55.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A16D32377E,deactivated,6 months (120-240d),1,68.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8CC1C48139,deactivated,6 months (120-240d),2,71.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-2F240CC891,deactivated,6 months (120-240d),3,39.8,0,3 movements improved >=20% and >=5kg,Yes: validate exercise conventions and member consent before use
WSP-917EBE9157,active,12 months (300-450d),1,89.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-917EBE9157,active,24 months (600-900d),1,157.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3E3373D817,deactivated,12 months (300-450d),2,117.1,3,at least one movement improved >=50%; 3 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-5A6CABB970,deactivated,6 months (120-240d),3,51.5,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-985E0421A3,deactivated,6 months (120-240d),1,60.7,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-369FB9871C,deactivated,6 months (120-240d),2,136.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-094A18C2BC,deactivated,6 months (120-240d),1,63.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-430F2625BA,deactivated,6 months (120-240d),2,80.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-3E58E62E3C,deactivated,6 months (120-240d),2,318.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-12B45EC0B3,active,12 months (300-450d),1,140.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-12B45EC0B3,active,24 months (600-900d),1,134.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-12B45EC0B3,active,6 months (120-240d),1,93.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F148A8C19A,active,12 months (300-450d),3,349.0,1,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F148A8C19A,active,24 months (600-900d),3,376.2,1,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F148A8C19A,active,6 months (120-240d),1,98.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-CA8A80ADFD,deactivated,6 months (120-240d),3,80.8,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-598C3651E3,active,12 months (300-450d),2,71.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-598C3651E3,active,24 months (600-900d),4,66.7,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F384938133,deactivated,12 months (300-450d),3,144.7,1,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F384938133,deactivated,24 months (600-900d),3,47.4,1,3 movements improved >=20% and >=5kg,Yes: validate exercise conventions and member consent before use
WSP-F384938133,deactivated,6 months (120-240d),2,75.0,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-122F29AB30,active,12 months (300-450d),1,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DFD4C8DEAD,deactivated,6 months (120-240d),1,825.9,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-283EB45961,deactivated,12 months (300-450d),1,200.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,12 months (300-450d),4,201.4,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,6 months (120-240d),3,61.5,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-834F6C7D34,deactivated,24 months (600-900d),1,92.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C7DB94648A,deactivated,12 months (300-450d),2,52.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-C7DB94648A,deactivated,6 months (120-240d),2,76.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,12 months (300-450d),1,84.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,24 months (600-900d),1,57.9,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-ACF22DFC36,active,6 months (120-240d),2,233.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-203C8BDBC2,deactivated,12 months (300-450d),1,70.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
