participant_id,account_status,movement,baseline_source_exercise,followup_source_exercise,horizon,baseline_level,followup_level,levels_gained,baseline_ratio,followup_ratio
WSP-35D2B825E2,active,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,24 months (600-900d),Live,Live,0,0.286,0.296
WSP-35D2B825E2,active,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,Beyond 24 months (901d+),Live,Live,0,0.286,0.317
WSP-3747400FEE,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.32,0.328
WSP-3747400FEE,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.32,0.364
WSP-3747400FEE,active,Romanian Deadlift,Barbell Romanian Deadlift,Barbell Romanian Deadlift,6 months (120-240d),Below Live,Below Live,0,0.4,0.304
WSP-749D8C9097,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.518,0.697
WSP-749D8C9097,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.518,0.631
WSP-749D8C9097,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Long,1,1.096,1.564
WSP-749D8C9097,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Long,1,1.096,1.336
WSP-749D8C9097,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,12 months (300-450d),Live,Live,0,0.752,1.025
WSP-749D8C9097,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.752,1.144
WSP-749D8C9097,deactivated,Overhead Press,Barbell Overhead Press,Barbell Overhead Press,6 months (120-240d),Live,Live,0,0.344,0.371
WSP-2B27FEB68C,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Long,Long,0,0.816,0.778
WSP-2B27FEB68C,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Long,Long,0,0.816,0.755
WSP-2B27FEB68C,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Long,Long,0,1.292,1.474
WSP-2B27FEB68C,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Long,Long,0,1.292,1.581
WSP-2B27FEB68C,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Live,Live,0,0.884,0.818
WSP-2B27FEB68C,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.884,0.749
WSP-97D354E37F,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.505,0.499
WSP-97D354E37F,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.505,0.588
WSP-97D354E37F,deactivated,Farmer Walk 60s,Farmer Walk,Farmer Walk,12 months (300-450d),Below Live,Below Live,0,0.211,0.241
